"NAME OF THE"
"NAME OF THE                                            NAME OF THE PRIMARY"
"S. NO                        HEALTH UNIT    NAME OF THE BLOCK"
"REVENUE DISTRICT                                           HEALTH CENTRE"
"DISTRICT"
"S. NO                         HEALTH UNIT    NAME OF THE BLOCK"
"REVENUE DISTRICT                                            HEALTH CENTRE"
"DISTRICT"
"263    ERODE              ERODE            AMMAPET              GURUVAREDDYUR"
"264    ERODE              ERODE            AMMAPET              OLAGADAM"
"265    ERODE              ERODE            AMMAPET              ALAMPALAYAM"
"266    ERODE              ERODE            AMMAPET              AMMAPET"
"267    ERODE              ERODE            BHAVANI              JAMBAI"
"268    ERODE              ERODE            BHAVANI              MYLAMBADI"
"269    ERODE              ERODE            BHAVANI              PERIYAPULIYUR"
"270    ERODE              ERODE            BHAVANI              ODATHURAI"
"271    ERODE              ERODE            BHAVANISAGAR         P.PULIAMPATTI"
"272    ERODE              ERODE            BHAVANISAGAR         VINNAPALLI"
"273    ERODE              DHARAPURAM       MODAKKURICHI         MODAKKURICHI"
"274    ERODE              DHARAPURAM       MODAKKURICHI         GANAPATHIPALAYAM"
"275    ERODE              DHARAPURAM       MODAKKURICHI         ARACHALUR"
"276    ERODE              DHARAPURAM       MODAKKURICHI         AVALPOONDURAI"
"277    ERODE              DHARAPURAM       MODAKKURICHI         ELUMATHUR"
"278    ERODE              DHARAPURAM       KODUMUDI             KOLANALLI"
"279    ERODE              DHARAPURAM       KODUMUDI             SIVAGIRI"
"280    ERODE              DHARAPURAM       KODUMUDI             THAMARAIPALAYAM"
"281    ERODE              DHARAPURAM       KODUMUDI             CHENNASAMUDRAM"
"282    ERODE              DHARAPURAM       KODUMUDI             THANDAMPALAYAM"
"283    ERODE              DHARAPURAM       KODUMUDI             KOMBANAI PUDUR"
"284    ERODE              DHARAPURAM       UTHUKULI             KUNNATHUR"
"285    ERODE              DHARAPURAM       UTHUKULI             UTHUKULI"
"286    ERODE              DHARAPURAM       PERUNTHURAI          THINGALUR"
"287    ERODE              DHARAPURAM       PERUNTHURAI          PETHAMPALAYAM"
"288    ERODE              DHARAPURAM       PERUNTHURAI          VIJAYAMANGALAM"
"289    ERODE              DHARAPURAM       CHENNIMALAI          CHENNIMALAI"
"290    ERODE              DHARAPURAM       CHENNIMALAI          P.KASIPALAYAM"
"291    ERODE              DHARAPURAM       CHENNIMALAI          VELLODU"
"292    ERODE              DHARAPURAM       DHARAPURAM           PONNAPURAM"
"293    ERODE              DHARAPURAM       DHARAPURAM           ALANGIAM"
"294    ERODE              DHARAPURAM       DHARAPURAM           THALAVAIPATTINAM"
"295    ERODE              DHARAPURAM       KUNDADAM             THAYAMPALAYAM"
"296    ERODE              DHARAPURAM       KUNDADAM             KULLAMPALAYAM"
"297    ERODE              DHARAPURAM       KUNDADAM             SANKARANDAMPALAYAM"
"298    ERODE              DHARAPURAM       VELLAKOIL            VELLAKOIL"
"299    ERODE              DHARAPURAM       VELLAKOIL            MUTHUR"
"300    ERODE              DHARAPURAM       KANGEYAM             CHAVADIPALAYAM"
"301    ERODE              DHARAPURAM       KANGEYAM             PACHAPALAYAM"
"302    ERODE              DHARAPURAM       KANGEYAM             NATHAKADAIYUR"
"303    ERODE              DHARAPURAM       MOOLANUR             MULANUR"
"304    ERODE              DHARAPURAM       MOOLANUR             KANNIVADI"
"305    DHARMAPURI         DHARMAPURI       DHARMAPURI           D.THURINJIPPATTI"
"306    DHARMAPURI         DHARMAPURI       DHARMAPURI           SOLAKKOTTAI"
"                              NAME OF THE"
"NAME OF THE                                              NAME OF THE PRIMARY"
"S. NO                         HEALTH UNIT     NAME OF THE BLOCK"
"REVENUE DISTRICT                                             HEALTH CENTRE"
"DISTRICT"
"307    DHARMAPURI         DHARMAPURI       PENNAGARAM            NAGADASAMPATTI"
